word,definition
antimicrobial,drug that kills bacteria and other germs
antinauseant,drug used to stop nausea and vomiting
antipruitic,drug used to stop itching
antiretroviral,drug that inhibits certain viruses
antiseptic,"substance used to stop or slow down the growth of
germs"
antitussive,a drug used to relieve coughing
antiviral,"your body’s way to fight off infections, infection-"
antrectomy,surgery to remove the lower part of the stomach
antrum,lower part of the stomach
anuria,no urine being made
anus,"ring of muscle that keeps the opening at the end of the
digestive tract closed"
anxiety,"your body’s way to fight off infections, infection-"
aorta,biggest artery in the body
aortic stenosis,narrowing of the aorta where it comes out of the heart
aortogram,x-ray of the aorta
apepsia,without digestion
aphagia,not able to swallow
aphasia,"not able to speak or write and not able to understand
spoken or written words"
apnea,stopping of breathing
apnoea,"this can mean that you stop breathing for a short time, or
that you can’t breathe at all. when you can’t breathe for a
few seconds all, it is an emergency, and you need help from
doctors and nurses very quickly.
people with ‘sleep apnoea’ stop breathing many times in
the night but then just start breathing again by themselves.
this can be unhealthy, and the doctor may prescribe a
breathing machine to use when they are sleeping to stop
the apnoea."
aponeurorrhaphy,stitching of an aponeurosis
aponeurosis,strong tissue that joins muscle to bone
apparent,"clear, plain"
appellant,"name of, you"
appendectomy,surgery to remove the appendix
appendicitis,inflammation of the appendix
appendix,"nearly, about"
applicant,"name of, you"
apply,"put on, use"
appreciate,"be gratef, thank"
appropriate,"take, take over"
approximate,"your body’s way to fight off infections, infection-"
approximately,about
aptitude,"gift, knack, talent"
aqueous humor,liquid found in the front of the cavity of the eye
arachnoid,middle layer of the meninges
areola,dark-colored skin around the breast nipple
arguably,"maybe, perhaps"
arrhythmia,uneven heart beat
arrhythmia (or dysrhythmia),"when the heart beat is not normal. there are different
types of heart beat problems. depending on what
type of problem it is, you may feel like their heart is
skipping a beat, or you might be very sick, or you
might not even notice."
arteriogram,x-ray using a dye to outline an artery
arterioles,small branches of arteries
arteriorrhexis,breaking of an artery
arteriorsclerosis,hardening of the artery
arteriosclerosis,"an artery is a blood pipe that carries blood away from the
heart to the rest of your body. they are similar to veins,
which are blood pipes that carry blood towards the heart.
arteries are bigger than veins and capillaries."
artery,"the type of blood vessel that carries blood and oxygen
from the heart to the rest of the body"
arthralgia,pain in a joint
arthritis,joint pain
arthrocentesis,use of a needle to remove fluid from a joint
arthroclasia,"surgery to free up a joint that it is stiff so it cannot
move"
arthrodesia,surgery to fasten a joint so it cannot move
arthrogram,x-ray of a joint
arthroplasty,surgery to fix a joint
arthrosclerosis,stiffening of the joints
arthroscope,tool used to look into a joint
arthrotomy,surgery to cut into a joint
articular cartilage,smooth tissue that covers the bones inside a joint
artificial insemination,"use of a tool to put sperm into the vagina for the
purpose of beginning pregnancy"
ascertain,find out
ascites,fluid in the belly
aspartate aminotransferase (ast),"substance in blood that is measured to detect liver
disease"
aspermia,no sperm
asphyxia,suffocation
asphyxiate,"suffocate, choke"
aspirate,removing a substance using suction
aspiration,fluid entering lungs
assay,lab test
assess,to learn about (the health/wellness of)
assigned,placed in (into a group)
assist,"aid, help"
associated (with),having to do (with)
association,"your body’s way to fight off infections, infection-"
asthma,"disease, breathing disease; long term disease of"
astigmatism,flaw in the curve of the eye
asymptomatic,having no symptoms or problems
at risk,"having a possibility that something negative may
happen"
ataxia,uncontrolled muscle movement
"ataxia, ataxic","you are ataxic when it is hard to move your body properly.
this can happen because of a problem with your brain,
the connections in your brains (called nerves) or your
muscles. when you have ataxia, you can easily drop
things, find it hard to pick up or carry things, or you can
find it hard to walk."
atelectasis,collapse of a lung
atherosclerosis,hardening of the arteries
atraumatic,not damaging to tissue
atrial flutter,a type of sick heart beat.
atrioventricular defect,hole in the heart present at birth
atrophy,"wasting away, or decrease in size, of a body organ"
attack,"violent start, suddenly overcome by a disease, begin"
attempt,try
attire,"clothes, clothing, to dress, wear"
audiogram,report of a hearing test
audiologist,doctor who studies hearing
audiology,the study of hearing
audiometer,tool used to measure hearing
audiometry,measurement of hearing
audiotape,a cassette tape that is listened to
aural,having to do with the ear
auricle,outside flap of the ear
auscultation,use of a stethoscope to listen to sounds inside the body
authentic,"genuine, real, true"
authorize,"allow, approve, give the power to"
autism,"condition causing abnormal perceptions and
relationships"
autoimmune disease,"disorder in which a person's immune system attacks
parts of his or her own body"
autonomous,"free, independent, self-governing"
avail,help
available,"on hand, at hand, ready, near-by, handy"
"available
bacteria","at hand, on hand, ready, germs"
avoid,do not
axilla,armpit
backbone,"the backside is the two large muscles at the bottom of
your back that you sit on."
bacteria,germs
bacterial,having to do with bacteria
bacterial analysis,test used to detect and identify bacteria
bacterial endocarditis,bacterial infection of the inner lining of the heart
bag of waters,sack containing liquid that surrounds the unborn baby
balanitis,inflammation of the end of the penis
balanorrhagia,"balanitis with discharge of pus from the end of the
penis"
balanorrhea,discharge of fluid from the penis
balloon catheter,"this operation can be done to fix a part of your heart. the
doctor puts a very small balloon inside your heart valve
and pumps up the balloon to let more blood flow through
again."
banking,"storing a sample of blood, tissue, etc., for future
research use"
barbiturates,"group of drugs that are used for different reasons,
including general anesthesia, sedation, and stopping
seizures"
bargain,deal
bartholin's adentitis,"inflammation of the mucus-producing glands in the
vagina"
bartholin's glands,mucus-producing glands in the vagina
basal cell carcinoma,tumor of the skin (type of skin cancer)
baseline,"a patient’s medical status before any treatment or
research is done"
be present,"be at, be there, come to"
belly,"the abdomen is the part of your body below your chest
and above your pelvis. it is your tummy, where your
stomach, intestines, liver, spleen, and kidneys are."
beneficial,"good for, helpful, useful"
beneficiary,person who ge
benefit,help
benign,not cancer
benign prostatic hypertrophy,increase in size of the prostate gland
bereavement,"death, loss"
beta blocker,drug used to slow down the heart
beta-hcg (human chorionic gonadotropin),"substance in blood that is measured to detect cancer of
the testicles"
beverage,drink
biannual,"every two year, twice a year"
bicupsid valve,"a valve in the heart that controls the flow of blood by
opening and closing with each heart beat"
bilateral,"with both sides considered, two-sided, when both"
bile,"brown-yellow-green liquid made in the liver and stored
in the gallbladder that helps with digestion"
bile duct,tube that carries bile
bilirubin,"a substance found in bile- a high level of bilirubin in
the blood causes jaundice"
binding/bound,"carried by, to make stick together, transported"
binocular,having to do with both eyes
bioavailability,"the extent to which a drug or other substance becomes
available to the body"
biopsy,"removal of tissue so it can be looked at under a
microscope"
biota,plants and animals
bioterrorism,spreading virus or disease to cause fear or hurt
bleeding time,"test to measure how long it takes for a small cut to stop
bleeding"
blepharitis,inflammation of the eyelid
blepharoplasty,surgery to fix the eyelid
blepharoptosis,drooping of the upper eyelid
blood,red liquid pumped by the heart
blood components,"red blood cells, white blood cells, electrolytes (salts &
minerals), enzymes"
blood counts,"number of white blood cells, red blood cells, and
platelets in a blood sample"
blood pressure (bp),the pressure of blood flowing through blood vessels
blood profile,series of blood tests
blood urea nitrogen (bun),"substance in blood that is measured to check kidney
function"
blood vessels,tubes that carry blood through the body
bolus,a large amount
bone,"bone marrow is inside your bones. it has two parts.
one part is fat. the other part makes new blood cells."
bone marrow,soft tissue inside bones that makes blood cells
bone marrow biopsy,"use of a needle to remove bone marrow so that it can
be looked at under a microscope"
bone marrow transplant,"putting normal bone marrow from one person into
another person"
bone mass,the amount of [calcium in a given amount of] bone
borderline personality disorder (bpd),"characterized by instability in mood and interpersonal
relationships, suicide attempts, self-injury, role
confusion, and impulsive behaviors"
bowel,the intestine
bradyarrhythmias,slow irregular heart beats
bradycardia,slow heart beat
bradykinesia,moving slow
bradypepsia,slow digestion
brain,main part of the central nervous system
brain derived neurotrophic factor (bdnf),"protein, widely secreted in the hippocampus; has been
found to play a role in hippocampal morphology and
associated cognitive functions such as memory"
brain stem,joins the brain to the spinal column
brand name,commercial name for a drug
breastmilk,"the two breasts are on your chest. inside the breast
are mammary glands. when women have a baby, their
mammary glands produce milk for the baby."
breasts,milk-producing glands of women
breech birth,"when feet, buttocks, or knees come out before head at
birth"
brochoconstrictor,"drug used to make the bronchi tighten up and become
narrower"
bronchi,more than one bronchus
bronchitis,"coughing and chest discomfort, inflammation of the
bronchi"
bronchoconstriction,"constriction of the airway; difficulty breathing or
shortness of breath"
bronchodilator,"medicine, drug that helps you breathe easier"
bronchogenic,beginning in the bronchus
bronchogram,x-ray of the bronchi
bronchoplasty,surgery to fix the bronchi
bronchopneumonia,inflammation of the bronchi and lungs
bronchoscope,tool used to look into the bronchi
bronchospasm,"sudden breathing distress caused by narrowing of the
airways in lungs"
bronchus,tube that carries air from the bronchi
bulimia,"an eating disorder in which a person cannot stop eating
and often vomits to make room for more food"
bunion,bone growth inside the base of the big toe
bursa,"small sack filled with liquid that cushions moving
parts, such as two bones in a joint"
bursitis,inflammation of the bursa
bursolith,stone in a bursa
bursotomy,surgery to cut into a bursa
buttocks,"buttocks are the two large muscles at the bottom of your
back that we sit on."
by means of,"by, using, with"
"by which time
capacity","by then, ability, size, space"
bypass,"an artificial passageway from one blood vessel to
another to get around a blood clot"
cachexia,general weakness
caffeine,"drug found in coffee and colas that speeds up the
central nervous system, heart rate, and blood pressure"
calcaneus,heel bone
calcipenia,low in calcium
cancellous bone,a type of bone that looks like a sponge
cancer,cancer
cancer chemotherapy,treatment of cancer using drugs
cancer radiotherapy,treatment of cancer using x-rays
cancerous,having to do with cancer
candidiasis,"infection with a type of germ, a yeast called candida."
capacity,"size, amount something holds, ability, space,"
capillary,tiny blood vessel that connects arterioles to venules
carbohydrates,"type of fuel for the body that includes sugars and
starches"
carbuncle,group of boils on the skin
carcinoembryonic antigen,"substance in blood that is measured to detect tumors of
stomach or intestines"
carcinogen,cancer-causing
carcinogenic,capable of causing cancer
carcinoma,type of cancer
cardiac,having to do with the heart
cardiac arrest,stopping of the heart
cardiac catheterization,"putting a catheter into the heart to test for or treat a
heart problem"
cardiac pacemaker,"battery-powered tool put under the skin to control the
heart rate"
cardiac scan,ultrasonographic test to view the structure of the heart
cardiac tamponade,"squeezing of the heart caused by fluid or blood build-
up in the sac around the heart"
cardiodynia,pain in the heart
cardiogenic,beginning in the heart
cardiologist,heart doc
cardiology,medical study of the heart
cardiomegaly,increase in the size of the heart
cardiomyopathy,disorder of the heart muscle
cardiopulmonary bypass,"artificial passageway through which blood goes around
the heart during open-heart surgery"
cardiopulmonary resuscitation (cpr),"giving artificial respiration and heart massage to try to
save a person whose breathing or heart has stopped"
cardiotonic,drug used to strengthen the pumping action of the heart
cardiovalvulitis,inflammation of the heart valves
cardiovascular,having to do with the heart and blood vessels
cardioversion,"use of electric shock to make the heart beat with
normal rhythm"
caries,"cavities, tooth decay"
"carotid intima-media thickness study
(carotid imt)","ultrasound test on blood vessels in the neck; painless
test that uses sound waves from a small, hand-held
machine"
carpal,having to do with the wrist
carpal bones,wrist bones
carpal tunnel syndrome,painful disorder caused by a pinched nerve in the wrist
carpectomy,surgery to remove a wrist bone
carpoptosis,drooping wrist
carrier,someone who is sick and can get other people sick;
cartilage,the smooth covering on the end of bones
cataract,clouding of the lens of the eye
cataracts,a clouding of the eye that makes it hard for people
catastrophe,disaster
cathartic,drug used to stop constipation
catheter,"flexible, tube-like tool used to take fluids out or put
fluids into the body"
catheter – epidural,"a tube placed near the spinal cord used for anesthesia
indwelling epidural during operations"
caudal,toward the lower side of an organ or structure
cauterize,to burn a piece of the skin or tissue (usually to stop
cease,"end, stop"
cecum,"the first part of the large intestine, which is shaped like
a pouch"
celiotomy,surgery to cut into the abdominal cavity
cell,the basic building block of all living things
cell membrane,layer that surrounds a cell
cellulitis,inflammation of connective tissue
censure,blame
central nervous system (cns),your brain and spine.
central nervous system drugs,"drugs that speed up or slow down the central nervous
system"
central venous access device or catheter,"a catheter placed in a large vein in the chest; such as a
port or picc"
cephalagia,headache
cephalic,related to the head or the head end of the body
cephalosporin,type of antibiotic
cerebellitis,inflammation of the cerebellum
cerebellum,"the part of the brain that controls the movement of the
muscles and helps maintain balance"
cerebral,having to do with the cerebrum
cerebral aneurysm,aneurysm in the brain
cerebral angiography,x-ray of the blood vessels in the brain
cerebral hemorrhage,stroke
cerebral palsy (cp),"birth disorder of the brain that results in difficulty
moving"
cerebral thrombosis,blood clot in the brain
cerebral trauma,damage to the brain
cerebrospinal fluid (csf),the liquid around and in the brain and spinal cord
cerebrovascular accident (cva),stroke
cerebrum,"largest part of the brain, divided into right and left side"
cerumen,ear wax
ceruminoma,growth inside the gland that discharges ear wax
cervical vertebrae,bones of the neck
cervicectomy,surgery to remove the cervix
cervicitis,inflammation of the cervix
cervix,"blame, punish"
cessation,"pausing, stopping"
chalazion,pimple on the eyelid caused by an inflamed gland
chance,"a word used to talk about how likely it is that something
will happen. doctors might say there is a 1% chance
of a surgery not going as planned. this means that for
every 100 times an operation happens, 1 of those times
something unexpected will happen, or the operation will
not have the planned result."
characteristic,"blame, punish"
characterize,"blame, punish"
cheilorrhaphy,surgery to stitch a lip
chemical name,chemical formula for a drug (generic)
chemotherapeutic agent,anticancer drug
chemotherapy,"treatment of disease, usually cancer, by chemical
agents"
chest,"the cheek bones are under your eyes that makes your
cheeks sit out."
chest cavity,"space where the heart, lungs, esophagus, trachea,
bronchi, and thymus are located"
chiropodist,doctor who treats disorders of the feet
chiroproctor,doctor who treats disorders of the spine and nerves
chlamydia,"type of germ that usually infects the eyes, lungs, or sex
organs"
chloasma,a tumor arising from the skin and other organs
cholangiogram,x-ray of the gallbladder and bile ducts
cholangioma,cancer of a bile duct
cholecystectomy,surgery to remove the gallbladder
cholecystitis,inflammation of the gallbladder
choledocholithiasis,gallstones in a bile duct
choledocholithotripsy,surgery to crush gallstones in a bile duct
cholelithiasis,gallstones
cholinergic,type of nerve or a drug used to change its action
chondrectomy,surgery to remove cartilage
chondromalacia,"softening of joint cartilage, usually inside the knee"
chorea,involuntary movements
chorioamnionitis,inflammation of the tissue that covers the unborn baby
chorion,outside layer of the tissue that covers the unborn baby
choroid,middle layer of the eyeball
chromosomes,structures that hold the genes
chronic,"blame, punish"
chronic kidney disease (ckd),"a sickness of the lungs, where your air tubes get blocked.
it doesn’t get better, but you can do things to stop it
getting worse. many people with copd have short wind or
breathlessness and problems with breathing. it’s caused by
smoking cigarettes."
"chronic obstructive pulmonary disease
(copd)","lung disorder in which the flow of air to the lungs is
blocked (e.g., emphysema)"
cicatrix,scar
circulation,blood flo
circulatory system,"the group of all the different types of blood pipes in your
body. arteries, veins, capillaries, and heart all working
together always moving the blood around your body. this
is called the circulatory system."
circumcision,surgery to remove the foreskin
circumstance,"blame, punish"
cirrhosis,"serious liver disorder in which connective tissue
replaces normal liver tissue, and liver failure often
occurs"
clade,"blame, punish"
claudication,"the clavicle is a long thin bone that goes from the base of
your neck and out to your shoulder."
clavicle,collarbone
cleft lip and plate,"birth defect in which there is a split in the lip and the
roof of the mouth"
clia lab,"certified clinical laboratory that is authorized to release
results from patient tests for clinical and diagnostic
purposes."
client,"blame, punish"
clinical,"blame, punish"
clinical trial,medical research study in human volunteers
clinically significant,of major importance for treating or evaluating patients
clitoris,"sensitive female sex tissue located above the opening
for urination"
close proximity,near
co-operate,"help, work tog"
coagulate,"blame, punish"
coagulation time,"measure of how long it takes for blood to clot in a test
tube"
coarctation of the aorta,"birth disorder in which an area of the aorta is very
narrow"
coccyx,tailbone
cochlea,the organ of hearing inside the ear
coerce,"force, press"
cognitive,mental functioning
cognizant,aware
coitus,sexual intercourse between a man and a woman
colectomy,surgery to remove part or all of the colon
colic,stomach p
collaborate,"team up, work toge"
colonoscope,tool used to look into the colon
colonoscopy,"a medical examination of the colon by a physician
using a colonoscope"
colostomy,"an opening, or the surgery to make an opening,
between the colon and the outside of the body"
colpitis,inflammation of the vagina
colporrhaphy,stitching of the vagina
colposcope,"tool with magnifying glass used to look into the vagina
and at the cervix"
coma,"varying degrees of unconsciousness from which a
person may not awaken"
comatose,in a coma
commence,"begin, start"
communicable,"catching, infectious"
communicate,"e-mail, inform, telephone, tell, write"
compact bone,hard layers of the bone
comparable,"like, similar"
compensate,"make up, pay, reward"
compensation,payment or gift to a research subject/volunteer
competent,"skillful, able, well trained"
complete,"end, fill out, finish"
complete response,total disappearance of disease
completion,"end, finish"
complications,"difficulties, problems"
complimentary,free
comply,"follow, give in, obey"
component,part
comprehensive,"complete, covers everything important, thorough,"
comprise,"be made, include"
compulsion,urge
computerized axial tomography (cat),"x-ray machine that uses a computer to make pictures of
the body"
computerized tomography (ct),"x-ray machine that uses a computer to make pictures of
the organs of the body"
conceive,"imagine, think up"
concentration,strength
conception,"the beginning of pregnancy when the fertilized egg
implants in the uterus"
concerning,"about, for, on"
conclude,"end, finish"
conclude/conclusion,end
conclusive,"definite, final, last,"
concomitant,given at the same time
concur,"agree, feel the same way"
concussion,"unconsciousness resulting from a blow to the head
affecting the brain"
condition,"a medical problem, a disease, an illness"
conditioning,"physical training, training your body, fitness"
condom,"cover worn over the penis during sexual intercourse to
prevent infection or pregnancy"
conduct,"carry on, do, run"
confidentiality,"keeping all information about a research
subject/volunteer private"
congenital,"born with, inborn"
congenital anomaly,birth defect
congenital heart disease (chd,heart disease present at birth
congenital heart failure (chf),"failure of the heart resulting in fluid build-up in the
lungs, other body tissues, or both"
conjunctiva,"tissue that lines the eyelids and covers part of the eye
inside its sockets"
conjunctivitis,"eye infection, pink eye, swelling and redness around"
connective tissue,"type of tissue that connects, supports, touches, and
surrounds various body parts"
conscientious,"careful, painstaking"
conscious,awake and aware
consequence,result; effect; outcome
consequently,"as a result, so"
considerable,"many, much"
consistent,the same
consists of,includes
console,comfort
consolidation phase,"treatment phase intended to make a remission
permanent, follows induction"
conspicuous,"obvious, plain, showy"
constipation,"decreased number of or difficulty making bowel
movements"
constitute,"form, make up"
construct,"build, make"
consult,"ask, check with, talk over, talk to"
consume,"eat, drink, use up"
contact,"call, talk to, write"
contagious,spreading
contain,have
contaminant,"pollutant, poison, harmful ingredient, harmful"
contaminate,"dirty, poison, pollute, taint"
contemplate,"study, think"
continue to,"keep on, still"
contraceptive,birth cont
contract,"arrange, agree, make smaller and shorter"
contraindication,"dangerous to give, not good for, when a drug or"
contraindications,"medical reasons that prevent a person from using a
certain drug or treatment"
contribute,"help, give"
control,"manage, have power over, take care of"
control group,group not receiving the experimental treatment
controlled trial,"study in which the experimental treatment or procedure
is compared to a standard (control) treatment or
procedure"
controversy,"debate, issue"
contusion,bruise
convenient,"handy, useful"
conversion,change
convulsion,seizure
coombs' test,"blood test to detect antibodies against red blood cells
that is used in analyzing blood problems and cross
matching blood for transfusions"
